"","id","COL_ID","poetry_prose","book_type","genre","special_tag","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","group","group_abbr","group_eng","A_ID","path","true_year","descr"
"26",121,"COL_35","v","alm","","","","","","Маскерад. Подарок прекрасному полу на 1837 год","СПб.","Гинце",1836,35,NA,16,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000888&pg_seq=1&search_doc=","Альманахи","alm","Almanacks",NA,"../../data/collections//121_1836.txt","1836","Маскерад "
"27",122,"COL_36","v","col","lyr","","","","","Мечты при луне. Стихотворения","М.","Кирилова",1836,27,NA,19,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections",NA,"../../data/collections//122_1836.txt","1836","Мечты при луне: Альманах; коллекция любовных стихотворений и элегий, пара романсов; 3 автора"
"28",125,"COL_39","v","alm","","","Крыловский В.","Крыловский В.","","Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","СПб.","Крылова",1836,206,NA,12,"ЧБ","https://books.google.com/books?id=paNeAAAAcAAJ&printsec=frontcover&source=gbs_ViewAPI","Альманахи","alm","Almanacks","A_291","../../data/collections//125_1836.txt","1836","Мое новоселье, альманах на 1836 год, изданный В. Крыловским. СПб., 1836. "
"29",141,"COL_43","v","col","lyr","","Бернет Е.","Бернет Е.","Бернет Е.","Стихи Е. Бернета","СПб.","Снегирева",1837,167,NA,21,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000477&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_37","../../data/collections//141_1837.txt","1837","Стихи Е. Бернета:  "
"30",142,"COL_44","v","col","lyr","","Бороздна И.П.","Бороздна И.П.","Бороздна Иван Петрович","Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","М.","Селивановского",1837,242,NA,22,"ЧБ","https://books.google.com/books?id=uBoIZgMRHDsC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_38","../../data/collections//142_1837.txt","1837","Поэтические очерки Украины, Одессы и Крыма, письма в стихах к Графу В.П. З...у. М.: Селивановского, 1837 "
"31",143,"COL_45","v","col","lyr","","Бутырский Н.И.","Бутырский Н.И.","Бутырский Никита Иванович","И моя доля в сонетах. В 2 ч. Соч. Бутырского","СПб.","Вингебера",1837,NA,8,25,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000417&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_39","../../data/collections//143_1837.txt","1837","И моя доля в сонетах: В 2 ч. Соч. Н. Бутырского. "
"32",144,"COL_46","v","col","lyr","","Быстроглазов А.","Быстроглазов А.","Быстроглазов А.","Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","СПб.","Вингебера",1837,154,8,21,"ЧБ","https://books.google.cz/books?vid=NKP:3186276238&printsec=frontcover#v=onepage&q&f=false","Сборники стихотворений","col_lyr","Lyric collections","A_40","../../data/collections//144_1837.txt","1837","Стихотворения А. Быстроглазова. Ч. 1. СПб.: Вингебера, 1837 "
"33",145,"COL_46","v","col","lyr","","Быстроглазов А.","Быстроглазов А.","Быстроглазов А.","Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","СПб.","Вингебера",1837,186,NA,21,"ЧБ","https://books.google.cz/books?vid=NKP:3186262479&printsec=frontcover#v=onepage&q&f=false","Сборники стихотворений","col_lyr","Lyric collections","A_40","../../data/collections//145_1837.txt","1837","Стихотворения А. Быстроглазова. Часть вторая. СПб.: Конрада Вингебера, 1837 "
"34",149,"COL_49","v","col","lyr","","Дьячков С.","Дьячков С.П.","Дьячков Семен Петрович","Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","СПб.","Вингебера",1837,31,16,25,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections","A_43","../../data/collections//149_1837.txt","1837","Парнасский букет цветов или разные стихотворения, элегические романсы и песни для прекрасный девиц. Сочиненные С. Дьячковым. СПб., 1837"
"35",153,"COL_50","v","col","lyr","","Кашаев В.","Кашаев В.","Кашаев Виктор","Стихотворения Виктора Кашаева","М.","Кирилова",1837,43,8,22,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections","A_44","../../data/collections//153_1837.txt","1837","Стихотворения Виктора Кашаева. М.: В. Кирилова, 1837 "
"36",154,"COL_51","v","col","lyr","","Мартынов А.","Мартынов А.","Мартынов Авксентий Матвеевич","Поэтические произведения А. Мартынова. В 3-х кн.","СПб.","Вингебера",1837,249,8,24,"ЧБ","https://books.google.com/books?id=2VPX7BEfADEC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_45","../../data/collections//154_1837.txt","1837","Поэтические произведения А.Мартынова. В 3-х книгах. СПб., 1837 "
"37",76,NA,"v","col","lyr","double","Меркли М.","Меркли М.М.","Меркли Михаил Маркович","Стихотворения Михаила Меркли / 2-е изд.","М.","Кирилова",1837,120,12,16,"ЧБ","https://books.google.com/books?id=MnppAAAAcAAJ&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_9","../../data/collections//76_1837.txt","1837","Стихотворения Михаила Меркли. М.: тип. В. Кирилова, 1837 "
"38",151,NA,"v","sep","lyr","","","Огинский А.Г.","Огинский Алексей Григорьевич","Ксантиппа : Экспромт : [В стихах]","СПб.","Морск. тип.",1837,4,NA,27,"РНБ","https://vivaldi.nlr.ru/bx000013787/view/#page=","Отд. стихотворения","sep_lyr","Lyric booklets","A_295","../../data/collections//151_1837.txt","1837","Ксантиппа. Экспромт "
"39",173,"COL_149","v","col","lyr","","Пустельгин","Пустельгин","Пустельгин","Мои пенаты: Стихотворения Пустельгина","СПб.","Крайя",1837,32,16,13,"нб_спбгу","https://dspace.spbu.ru/bitstream/11701/5595/4/Pustelgin_Moi_Penaty_1837.pdf","Сборники стихотворений","col_lyr","Lyric collections","A_53","../../data/collections//173_1837.txt","1837","Мои пенаты. Стихотворения Пустельгина. СПб.: Крайя, 1837 "
"40",180,"COL_207","v","col","lyr","","Шаршавый","Шаршавый П.Я.","Шаршавый Петр Якимович","Цевница, на 1837 год. Соч. Шаршавого (Альманах)","СПб.","Вингебера",1837,206,16,14,"","","Сборники стихотворений","col_lyr","Lyric collections","A_58","../../data/collections//180_1837.txt","1837","Цевница на 1837 год. Соч. Шаршавого. СПб.: Конрада Вингебера, 1837 "
"41",344,"COL_224","v","col","lyr","","Шахова Е.Н.","Шахова Е.Н.","Шахова Елисавета Никитична","Опыт в стихах пятнадцатилетней девицы Елисаветы Шаховой : Писано в 1836 г.","СПб.","Вингебера",1837,23,NA,22,"","drive","Сборники стихотворений","col_lyr","Lyric collections","A_101","../../data/collections//344_1837.txt","1837","Опыт в стихах пятнадцатилетней девицы Елисаветы Шаховой. СПб.: К. Вингебера, 1837 "
"42",175,"COL_151","v","col","lyr","","","","","Стихотворения молодого Черкеса","М.","Ун. тип",1837,20,8,22,"","drive/natasha","Сборники стихотворений","col_lyr","Lyric collections",NA,"../../data/collections//175_1837.txt","1837","Стихотворения молодого черкеса. М.: Ун. тип, 1837 "
"43",240,"COL_168","v","col","lyr","","Бакунин И.М.","Бакунин И.М.","Бакунин Илья Модестович","На все время и пора [Стихотворения]","СПб.","Неймана",1838,147,12,18,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000457&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_84","../../data/collections//240_1838.txt","1838","На все время и пора "
