ID	type	DC	phys_ailable_in	A_ID	Author	Title	City	Printed_in (В тип. )	Year	ЦР	Notes	Olhin	См-Сок	Available_in	РГИА билет / Одобр. ЦИАМ
COL_75	col		ргб	A-74	Марков М.	Мечты и были: В 3 ч. Ч. 1. Стихотворения	СПб.	Праца	1838		Ч. 2. Повести, ч. 3. Рассказы				11.04.1838
COL_76	col	Y	ргб	A-75	Онисимова Д.А.	Стихи бедной девицы, слепой дочери деревенского пономаря, сообщенные в Императорскую Российскую Академию, и от ней изданные	СПб.	Имп. Рос. Акад.	1838	08.01.1838	моя копия (drive)				
COL_77	col			A-76	Остроумов И.	Остатки похищенной сельской музы. Стихотворения Ивана Остроумова			1838		От крестьянина графини Паниной Ивана Остроумова. 30 с.				25.03.1838
COL_78	col		ргб	A-26	Полежаев А.И.	Арфа: Стихотворения Александра Полежаева	М.	Кирилова	1838		СП: указ. тип. Степанова				11.04.1838
COL_79	col		рнб	A-77	Сушков Д.П.	Стихотворения Д. Сушкова: Первая книжка	СПб.	Штаба отд. корп. внутр. стражи	1838		"розанов; у Ольхина указано в т. 3го отд. корп. внутр. стражи"	5298			06.10.1838
COL_80	col	Y	ргб	A-78	Теплова Н.С.	Стихотворения Н. Тепловой. Изд. 2, умноженное	М.	Лазаревых института восточных языков	1838	26.08.1838	есть изд. 1833: https://dlib.rsl.ru/viewer/01003558839#?page=1	5299			14.10.1838
COL_81				A-28	Суханов М.Д.	Собрание отборнейших русских песен. Собрано М.С. В 2-х ч.	СПб.	Вингебера	1838		Подпись раскрыта по [Масанов 1957: II, 154]				12.06.1838
COL_82	col			A-79	Молчанова В.	Стихотворения, сочиненные девицей B.М.	СПб.	Глазунова	1838			5311			15.07.1838
COL_83	col		рнб	A-132	М.Д.	И то и се или собрание сочинений в стихах и прозе М.Д.	М.	Смирнова	1838		"Балакин: Дмитриевского; РНБ: Дмитриевский Михаил Иванович"	6526			14.10.1838
COL_84	col		unknown	A-133	Лукьянов А.	Разные стихотворения. Соч. А. Лукьянова			1838		От московского мещанина П. Дмитриева. 27 с.				18.01.1838
COL_85			unknown			Стихотворение Иерусалимскому патриарху […] от универс. тип.			1838						19.02.1838
COL_86			unknown			Урна. Стихотворения Алексеева.			1838		В выписках из ЦИАМа есть две записи под заголовком “урна”, с разными датами и разными заявителями				09.12.1838
COL_87	sluch		unknown			Стихи: Господам членам […] клуба на 1839 год от титулярного советника Германа[?]			1838						23.12.1838
COL_155	sluch		unknown			Поздравительные стихи за 1838 год гг. Старшинам, Членам и Гостям Немецкого клуба	М.	Степанова	1838						
COL_156	sluch		unknown			Двенадцать стихотворений на разные случаи	Рига[?]		1838						
COL_157	sluch		unknown			Пять стихотворений на разные случаи	Рига[?]		1838						
COL_158	col		unknown			Фантастическое зеркало в шуточно-сатирических стихах. Соч. Г.Б.М.	М.	Лазаревых	1838						
COL_159			unknown			Два стихотворения на случай	Рига[?]		1838						
COL_160	col	ргб		A-80	Дмитриев И.И.	Басни и апологи И.И. Дмитриева	СПб.	Военн. тип.	1838		https://dlib.rsl.ru/viewer/01003559637#?page=1	5611			
COL_161	col		рнб			Любовь к добродетельной деве, или Черты душевной красоты: Стихотворения, писанные в 1822 г.	М.	Ун. тип	1838		Зачем нужна отсылка к 1822? типа пушкинские элегии?				
COL_162	col		ргб	A-81	Раевич И.А.	Плоды вечерних безделок, сочинение Ивана Раевича	М.	Евреинова	1838		СО. 1838. Т. 4. Отд 4. С. 55: Плоды вечерних безделок. Сочинение ИВАНА Раевича.				
COL_163	sluch		unknown			Стихи для конфектов	Вильна	А. Дворца	1838						
COL_164	col		рнб	A-82	Праволамский П.	Стихотворения П. Праволамского	Ярославль	Губ. правления	1838		розанов	5290			
COL_165	col		рнб	A-83	Моствило-Головач П.	Стихотворения П. Моствило-Головача	Смоленск	Губ. правления	1838			5285			циам
COL_166	sluch					Стихотворения, посвященные Гроссгейнриху	СПб.	Неймана	1838			5310			
	sluch	ргб				К портрету Н.И. Греча	СПб.	Н. Греча	1838		"РГИА. 772.1.1070. л.193 об.; https://dlib.rsl.ru/viewer/01005416550#?page=1 проза"				
COL_168	col		рнб	A-84	Бакунин И.М.	На все время и пора	СПб.	Неймана	1838		Автор по каталогу рнб: Бакунин Илья Модестович (1800-1841)				28.04.1838
COL_169	col			A-134	Башкатов А.	Быль и заблуждение моего ума и сердца. Соч. Алексея Башкатова, в стихах и прозе	М.	Евреинова	1838			4370			21.06.1838
COL_170			unknown			Четыре стихотворения на случай	Рига[?]		1838		РГИА. 772.1.1071. л. 61				
COL_171			unknown			Четыре стихотворения на случай	Рига[?]		1838		РГИА. 772.1.1071. л. 149 об.				
COL_172	det		рнб			Детские поздравительные стихотворения	СПб.	Гинца	1838			5439			
COL_173	det		рнб			Новые детские поздравления, в стихах, с праздниками	СПб.	Губ. правления	1838			5441			
