,word,lemma
932,океану,океан
933,парусах,парус
934,нищий,нищий
935,вопиет,вопиять
936,вкушает,вкушать
937,благ,благо
938,живых,живой
939,трепещет,трепетать
940,столбом,столб
941,согласных,согласный
942,падежей,падеж
943,свете,света
944,разлуки,разлука
945,деву,дева
946,стихам,стих
947,жалей,жалеть
948,состраданья,сострадание
949,привета,привет
950,дышал,дышать
951,отплатил,отплачивать
952,ответ,ответ
953,укрыться,укрываться
954,сожаленья,сожаление
955,прости,прощать
956,отравили,отравлять
957,мечтал,мечтать
958,ужасных,ужасный
959,страданий,страдание
960,девы,дева
961,отдала,отдавать
962,согласился,соглашаться
963,разлуке,разлука
964,дождался,дождаться
965,роковой,роковой
966,ожесточился,ожесточаться
967,побежал,побежать
968,скитался,скитаться
969,навевал,навевать
970,мечтанья,мечтание
971,полна,полный
972,безнадежной,безнадежный
973,сон,сон
974,догорала,догорать
975,сладострастной,сладострастный
976,угрюмой,угрюмый
977,сверкала,сверкать
978,руке,рука
979,свершился,свершаться
980,мертвець,мертвець
981,заструились,заструиться
982,ручьем,ручей
983,продолжать,продолжать
984,колени,колено
985,струились,струиться
986,щекам,щека
987,блуждая,блуждать
988,взглянул,взглядывать
989,слезами,слеза
990,гремит,греметь
991,погубил,погубить
992,грудными,грудной
993,красотой,красота
994,дороже,дорогой
995,была,быть
996,найду,находить
997,пустился,пускаться
998,рукой,рука
999,станешь,становиться
1000,тоскою,тоска
1001,грехи,грех
1002,отрадной,отрадный
1003,бальзам,бальзам
1004,отца,отец
1005,смягчать,смягчать
1006,тишина,тишина
1007,вдруг,вдруг
1008,воссылая,воссылать
1009,молился,молиться
1010,проливал,проливать
1011,хор,хор
1012,поставил,поставлять
1013,наташа,наташа
1014,геба,геб
1015,нектар,нектар
1016,муза,муза
1017,идеал,идеал
1018,совершенства,совершенство
1019,счастливый,счастливый
1020,свирепый,свирепый
1021,млат,млат
1022,милой,милая
1023,конец,конец
1024,судей,судья
1025,славно,славно
1026,обещали,обещать
1027,ослепляться,ослепляться
1028,ира,ира
1029,хлеб,хлеб
1030,настрою,настраивать
1031,вам,вы
1032,лира,лира
1033,певца,певец
1034,привет,привет
1035,благовонных,благовонный
1036,напевы,напев
1037,стране,страна
1038,ужасно,ужасно
1039,блестящих,блестящий
1040,вавилона,вавилон
1041,подруга,подруга
1042,дитя,дитя
1043,разговор,разговор
1044,шалунья,шалунья
1045,бреду,бред
1046,вдохновенья,вдохновение
1047,свинец,свинец
1048,исключит,исключать
1049,постеле,постел
1050,вине,вино
1051,атаки,атака
1052,пути,путь
1053,поэтом,поэт
1054,любил,любить
1055,толпой,толпа
1056,мятежной,мятежный
1057,предузнал,предузнавать
1058,науки,наука
1059,загашенный,загашать
1060,сени,сени
1061,веять,веять
1062,плакучей,плакучий
1063,льстило,льстить
1064,чредою,чреда
1065,мечта,мечта
1066,побледнеют,побледнеть
1067,суровый,суровый
1068,впечатлений,впечатление
1069,груди,грудь
1070,ветвей,ветвь
1071,былые,былой
1072,смех,смех
1073,уйдет,уходить
1074,игрушка,игрушка
1075,мечтою,мечта
1076,изменишь,изменять
1077,твоих,твой
1078,желанья,желание
1079,преступленья,преступление
1080,обовьюсь,обвиваться
1081,унылый,унылый
1082,поминай,поминать
1083,безумье,безумие
1084,судьбе,судьба
1085,созданье,создание
1086,природа,природа
1087,мужчины,мужчина
1088,творя,творить
1089,мечтала,мечтать
1090,гибкой,гибкий
1091,обнялись,обниматься
1092,хочет,хотеть
1093,усилья,усилие
1094,звезде,звезда
1095,отдам,отдавать
1096,бесценной,бесценный
1097,принять,принимать
1098,есть,быть
1099,праха,прах
1100,голубом,голубой
1101,твоей,твой
1102,голубое,голубой
1103,степь,степь
1104,исполин,исполин
1105,караваном,караван
1106,звездном,звездный
1107,дик,дикий
1108,божье,божий
1109,доля,доля
1110,суждена,сужденный
1111,зависеть,зависеть
1112,мучить,мучить
1113,воспламенять,воспламенять
1114,безверца,безверца
1115,даром,даром
1116,обмана,обман
1117,отвергать,отвергать
1118,укора,укор
1119,улыбки,улыбка
1120,творений,творение
1121,твои,твой
1122,оно,оно
1123,любовью,любовь
1124,плачешь,плакать
1125,клиром,клир
1126,братий,братия
1127,переселенца,переселенец
1128,небытия,небытие
1129,беспредельном,беспредельный
1130,внемлешь,внимать
1131,посреди,посреди
1132,покое,покой
1133,темноты,темнота
1134,небесами,небо
1135,мглой,мгла
1136,струится,струиться
1137,кристаллом,кристалл
1138,упиваться,упиваться
1139,воспоминанья,воспоминание
1140,оживлять,оживлять
1141,озолотился,озолотиться
1142,седою,седой
1143,туман,туман
1144,восстанья,восстание
1145,затаив,затаивать
1146,красоты,красота
1147,чертог,чертог
1148,люблю,любить
1149,своей,свой
1150,виденья,видение
1151,проникает,проникать
1152,отрада,отрада
1153,воспою,воспевать
1154,был,быть
1155,пришпорю,пришпоривать
1156,стременах,стремя
1157,взора,взор
1158,обскакали,обскакивать
1159,холя,холить
1160,носился,носиться
1161,горы,гора
1162,стук,стук
1163,восстал,восставать
1164,может,может
1165,прекращена,прекращать
1166,проснется,просыпаться
1167,всадил,всаживать
1168,косою,косой
1169,встать,вставать
1170,растворились,растворяться
1171,молод,молодой
1172,долин,долина
1173,великий,великий
1174,дар,дар
1175,богата,богатый
1176,слезы,слеза
1177,печать,печать
1178,сырая,сырой
1179,морями,море
1180,закипит,закипать
1181,беспрерывной,беспрерывный
1182,сомненья,сомнение
1183,наши,наш
1184,золотых,золотой
1185,злая,злой
1186,езерский,езерский
1187,рода,род
1188,цареграде,цареграда
1189,княжны,княжна
1190,илью,илья
1191,калке,калка
1192,их,они
1193,времена,время
1194,совете,совет
1195,боярской,боярский
1196,другим,другой
1197,гнев,гнев
1198,величавой,величавый
1199,смирились,смиряться
1200,досадил,досаждать
1201,никакой,никакой
1202,родоначальник,родоначальник
1203,ермак,ермак
1204,отцами,отец
1205,умно,умно
1206,ради,ради
1207,бал,бал
1208,словесно,словесный
1209,трунят,трунить
1210,ходаковский,ходаковский
1211,родне,родня
1212,звуки,звук
1213,то,то
1214,боярских,боярский
1215,фиглярин,фиглярин
1216,забытом,забытый
1217,трава,трава
1218,осел,оседать
1219,роя,рой
1220,заповедал,заповедовать
1221,муж,муж
1222,досталась,доставаться
1223,сполна,сполна
1224,жил,жить
1225,шептало,шептать
1226,младость,младость
1227,увы,увы
1228,холодела,холодеть
1229,волненьем,волнение
1230,сне,сон
1231,чудный,чудный
1232,святою,святой
1233,перекрестил,перекрещивать
1234,виденье,видение
1235,сомнений,сомнение
1236,вы,вы
1237,раскрыли,раскрывать
