"review_id","source_id","review_source","score","location"
"R_791","C_233","Sev_pchela","neg","1838. № 176. С. 703 -- А."
"R_792","C_233","BdCH","neg; рассуждение о слове “мечта” и пушкине","1838. Т. 28. С. 39-44"
"R_793","C_234","Sovr","neg","1838. Т. 11. С. 61-62"
"R_795","C_234","CO","neg","1838. Т. 4. Отд. 4. С. 55"
"R_799","C_234","Sev_pchela","neg","1838. № 198. С. 791 -- А."
"R_800","C_234","BdCH","neg","1838. Т. 29. С. 23-27"
"R_809","C_236","Sovr","neg","1839. Т. 14. С. 32-33"
"R_810","C_236","OZ","pos; есть “случайная выписка” из сборника, изд. в СПб., тип. Снегирева","1839. Т. 2. № 3. Отд. 7. С. 140-143"
"R_817","C_237","Sovr","neg","1838. Т. 12. С. 69-70"
"R_835","C_240","CO","neg","1838. Т. 4. Отд. 4. С. 53-55"
"R_841","C_241","Sovr","neg","1838. Т. 11. С. 61-62"
"R_843","C_241","CO","neg","1838. Т. 4. Отд. 4. С. 122-125"
"R_847","C_241","Sev_pchela","neg","1838. № 169. С. 674-675 -- А."
"R_850","C_246","OZ","neg","1839. Т. 5. Отд. 7. С. 47-48"
"R_857","C_247","Sovr","neg","1839. Т. 14. С. 32-33"
"R_865","C_249","Sovr","pos","1838. Т. 9. С. 85-87"
"R_871","C_249","Sev_pchela","pos; о поэтическом отделе","1838. № 76. С. 303-304; № 77. С. 306-307; № 78. С. 310-311"
"R_872","C_249","BdCH","neg","1838. Т. 28. С. 13-15"
"R_889","C_257","Sovr","neg","1840. Т. 18. С. 134"
"R_890","C_257","OZ","neg","1840. Т. 8. Отд. 6. С. 10-11"
"R_891","C_257","CO","neg","1840. Т. 1. Кн. 2. С. 460"
"R_898","C_258","OZ","neg; пишут про подражание Кольцову","1839. Т. 5. Отд. 7. С. 18-20"
"R_904","C_258","BdCH","???","1839. Т. 35. С. 7-11"
"R_905","C_259","Sovr","pos","1839. Т. 15. С. 61-62"
"R_907","C_259","CO","neg","1839. Т. 8. Отд. 4. С. 151-152"
"R_911","C_259","Sev_pchela","neg","1839. № 159. С. 635"
"R_914","C_260","OZ","pos","1839. Т. 6. Отд. 7. С. 1-13"
"R_915","C_260","CO","pos","1839. Т. 10. Отд. 4. С. 145-147"
"R_921","C_262","Sovr","neg","1839. Т. 15. С. 62"
"R_922","C_262","OZ","neg","1839. Т. 3. № 5. Отд. 7. С. 155"
"R_930","C_264","OZ","pos","1841. Т. 14. Отд. 6. С. 49"
"R_937","C_265","Sovr","neg","1840. Т. 17. С. 67"
"R_938","C_265","OZ","neg; отмечено, что за стихи выдает переделки песен (народных?)","1839. Т. 7. Отд. 7. С. 23-26"
"R_939","C_265","CO","neg","1839. Т. 11. Отд. 4. С. 41-42"
"R_945","C_266","Sovr","pos","1839. Т. 15. С. 61-62"
"R_946","C_266","OZ","neg","1839. Т. 3. № 5. Отд. 7. С. 156"
"R_947","C_266","CO","pos; сравнивают МС с англ. филологом самоучкой Ричардом Джонсом","1839. Т. 8. Отд. 4. С. 148-149"
"R_951","C_266","Sev_pchela","pos","1839. № 125. С. 498"
"R_953","C_269","Sovr","pos","1840. Т. 17. С. 65-67"
"R_954","C_269","OZ","pos","1839. Т. 6. Отд. 7. С. 148"
"R_955","C_269","CO","pos; но в целом отвратительно про поэток","1839. Т. 11. Отд. 4. С. 38-41"
"R_958","C_269","JMNP","pos","1840. Ч. 25. Отд. VI. С. 118-119, 122-124 -- Ф. Менцов"
"R_959","C_269","Sev_pchela","pos","1839. № 254. С. 1015"
"R_960","C_269","BdCH","pos","1839. Т. 37. С. 1-2"
"R_961","C_270","Sovr","neg","1839. Т. 15. С. 59-60"
"R_962","C_270","OZ","pos","1839. Т. 3. № 4. Отд. 7. С. 1-18"
"R_963","C_270","CO","pos","1839. Т. 8. Отд. 4. С. 73-78"
"R_967","C_270","Sev_pchela","pos","1839. № 80. С. 318-319 -- Ф. Б."
"R_969","C_274","Sovr","neg","1840. Т. 17. С. 67"
"R_970","C_274","OZ","neg","1839. Т. 6. Отд. 7. С. 144"
"R_971","C_274","CO","neg","1839. Т. 10. Отд. 4. С. 159-160"
"R_977","C_272","Sovr","neg","1840. Т. 17. С. 67"
"R_978","C_272","OZ","neg","1839. Т. 6. Отд. 7. С. 144"
"R_979","C_272","CO","neg","1839. Т. 10. Отд. 4. С. 159-160"
"R_985","C_273","Sovr","neg","1840. Т. 17. С. 67"
"R_986","C_273","OZ","neg","1839. Т. 6. Отд. 7. С. 144"
"R_987","C_273","CO","neg","1839. Т. 10. Отд. 4. С. 159-160"
"R_1002","C_277","OZ","???","1839. Т. 5. Отд. 7. С. 14-18"
"R_1009","C_285","Sovr","neg","1840. Т. 17. С. 67"
"R_1011","C_285","CO","neg; указ. автор как Жертсва Рогова(??)","1839. Т. 11. Отд. 4. С. 42"
"R_1018","C_286","OZ","neg","1839. Т. 4. Отд. 7. С. 106-108"
"R_1041","C_290","Sovr","neg","1839. Т. 14. С. 32-33"
"R_1042","C_290","OZ","???; иронично, стихотворение сравнивается с прозой ФБ","1839. Т. 2. № 3. Отд. 7. С. 145-148"
"R_1059","C_292","CO","neg","1839. Т. 11. Отд. 4. С. 115"
"R_1063","C_292","Sev_pchela","neg","1839. № 71. С. 283"
"R_1065","C_295","Sovr","neg","1839. Т. 15. С. 62"
"R_1066","C_295","OZ","neg","1839. Т. 3. № 5. Отд. 7. С. 155-156"
"R_1067","C_295","CO","neg; указан выход в 1840","1840. Т. 2. Кн. 4. С. 850-851"
"R_1073","C_296","Sovr","neg","1839. Т. 14. С. 32-33"
"R_1074","C_296","OZ","neg","1839. Т. 2. № 3. Отд. 7. С. 144-145"
"R_1082","C_298","OZ","neg","1839. Т. 5. Отд. 7. С. 10-14"
"R_1083","C_298","CO","pos","1839. Т. 10. Отд. 4. С. 60-61"
"R_1087","C_298","Sev_pchela","pos","1839. № 212. С. 847"
"R_1088","C_298","BdCH","neg","1838. Т. 30. С. 21-27"
"R_1090","C_299","OZ","pos","1839. Т. 5. Отд. 7. С. 1-10"
"R_1091","C_299","CO","pos; хвалят правительство, что белорусы вернулись к русскому языку, в конце пишут виват триаде","1839. Т. 10. Отд. 4. С. 59-60"
"R_1094","C_299","JMNP","pos","1839. Ч. 22. № 3. С. 74-82"
"R_1095","C_299","Sev_pchela","pos","1839. № 183. С. 731"
"R_1096","C_299","BdCH","pos; дифирамбы по поводу того, что прежде не говорящие по-русски ливонцы теперь пишут отлично","1839. Т. 36. С. 1-15"
"R_1097","C_300","Sovr","pos","1839. Т. 14. С. 30-31"
"R_1098","C_300","OZ","pos","1839. Т. 3. № 4. Отд. 7. С. 18-22"
"R_1099","C_300","CO","neg; ругают за отцветшие клише","1839. Т. 8. Отд. 4. С. 78-82"
"R_1103","C_300","Sev_pchela","pos","1839. № 67. С. 266-267"
"R_1105","C_301","Sovr","pos","1840. Т. 18. С. 145"
"R_1106","C_301","OZ","pos","1840. Т. 9. Отд. 6. С. 9-14"
"R_1107","C_301","CO","pos","1840. Т. 1. Кн. 4. С. 887-894"
"R_1110","C_301","JMNP","pos","1840. Ч. 25. Отд. VI. С. 110-113 -- Ф. Менцов"
"R_1111","C_301","Sev_pchela","pos","1840. № 67. С. 266-267 -- А. Чацкий"
"R_1112","C_301","BdCH","","1840. Т. 38. С. 27-29"
"R_1113","C_303","Sovr","neg","1840. Т. 19. С. 145"
"R_1114","C_303","OZ","neg","1840. Т. 10. Отд. 6. С. 10-12"
"R_1115","C_303","CO","neg","1840. Т. 2. Кн. 4. С. 851-852"
"R_1121","C_306","Sovr","neg","1840. Т. 19. С. 143"
"R_1122","C_306","OZ","neg","1840. Т. 9. Отд. 6. С. 39"
"R_1123","C_306","CO","neg","1840. Т. 2. Кн. 3. С. 612-613; СО. 1840. Т. 5. Кн. 19-20. С. 252-253"
"R_1129","C_312","Sovr","neg","1840. Т. 20. С. 97-98"
"R_1130","C_312","OZ","neg","1840. Т. 10. Отд. 6. С. 56"
"R_1131","C_312","CO","neg","1840. Т. 3. Кн. 2. С. 382-384"
"R_1136","C_312","BdCH","neg","1840. Т. 40. С. 10-12"
"R_1137","C_313","Sovr","neg","1840. Т. 20. С. 97-98"
