"","id","id_st","text","meter"
"41","P_1008","P_1008_1","Тебе' ль чугу'н, тебе' ли мра'мор ста'вить,
Суса'нин, ве'рный сын, честь ро'дины свое'й?
Тебя' ли мо'жем мы просла'вить?
Дея'ньем рук и гру'дами камне'й?
Чугу'н расто'пится; полу'дня мра'мор бе'лый
Раздробя'т до'лгие моро'зы Ру'сских зим.
Есть па'мятник ино'й: он тверд, несокруши'м,
Он си'лен и вели'к, как ты, Суса'нин сме'лый!
Сей ве'чный па'мятник давно' сооружён
В сердца'х призна'тельных пото'мков:
Во дни крамо'л и смут, из пе'пла, из обло'мков
С Росси'ей но'вою восста'л как фе'никс он,
И с ней цветёт подне'сь, могу'чий и споко'йный -
Да!.. благоде'нствие и сла'ва Россия'н,
Да!.. гро'мкие хвалы' поздне'йших согра'ждан,
Вот па'мятник, Суса'нина досто'йный!
","iamb"
"42","P_1009","P_1009_1","И вот её прекра'сное чело',
Уга'сшее под бре'менем страда'ний!
Как мно'го не'когда мои'х на нем лобза'ний
С лиле'ямн и ро'зами легло' !","iamb"
"43","P_1009","P_1009_2","Тепе'рь уж ей нену'жны ро'зы —
И я с лобза'ньем вме'сто роз
Ей сле'зы бе'дные принёс.
Но говоря'т, страда'льческия слезы'
Усо'пшую печа'лят. О, заче'м!..
Но я поко'рен, я совсе'м
Уже' не пла'чу, нет, не пла'чу,
Напра'сных жа'лоб я не тра'чу,
И да'же для печа'ли нем,
Я да'же с ти'хою улы'бкой
Гляжу' на гроб и не рошцу':
Но вот слеза'... о нет, оши'бкой,
Я так... оши'бкою грущу'!
","iamb"
"44","P_101","P_101_1","Скажи' мне, ви'тязь, что твой лик,
Весно'ю дней, темне'е но'чи?
Ты вне себя'! главо'й пони'к !
Твои' трево'жно бле'щут о'чи !
Твой пы'лкий дух мрачи'т тоска'....
Отку'да ты? издалека'?","iamb"
"45","P_101","P_101_2","О, ви'жу я! Млада'я кровь
Кипи'т, волну'ема отра'вой.
Круши'ть ли та'йная любо'вь?
Вражда' ль изме'ною лука'вой?
Черна' бе'дами жизнь твоя' !
Кто твой злоде'й? — ""Злоде'й мой....я!"" —
И ди'ко ви'тязь ки'нул взор
На тьмой покры'тую доли'ну :
Мяте'жной со'вести уко'р
Стесня'л ду'шу его' кручи'ной;
Он изумля'лся: мни'лось, он
Како'Й - то ви'дит гро'зный сон.","iamb"
"46","P_101","P_101_3","И вдруг он мо'лвил: ""В небеса'х
Страшне'е волн клубя'тся ту'чи,
И с мертвеца'ми в облака'х
Ужа'сно во'ет вихрь лету'чий:
Как се'рдце с я'звою любви',
Взгляни' , меж них луна' в крови'!","iamb"
"47","P_101","P_101_4","И бу'ря но'сит да'льний звон,
И ве'ет мне напе'в уны'лой.
Склони'сь к траве': подзе'мный стон
Увы', не заглушён моги'лой !
И тень её во мгле ночно'й
Лети'т под бе'лой пелено'й.","iamb"
"48","P_101","P_101_5","О Ва'мба, ты была' мое'й!
Цвела' в любви', краса' млада'я!
Но бу'йный пыл, но яд страсте'й ,
Но жи'зни та'йна рокова'я,
Ревни'вый мой, безу'мный жар,
Сверши'ли па'губный уда'р.","iamb"
"49","P_101","P_101_6","И с ней не разлуча'юсь я.
Неда'вно мча'лся я горо'ю,
Где замо'к, колыбе'ль моя',
С свое'й зубча'тою стено'ю....
Он освещён; она' в окне';
Она'....руко'й мани'ла мне !","iamb"
"50","P_101","P_101_7","Вчера' я, гре'шный, в Бо'жий храм
Вошёл: ищу' в тоске' отра'ды,
И, близ ико'ны, ви'жу там
При ту'склом за'реве лампа'ды, —
Она', коле'на преклони',
Сто'ит и мо'лит за меня' !","iamb"
