"","author","source","number_of_texts"
"232","Сатин Н. М.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",26
"233","Словцов П. А.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",5
"234","Случевский К. К.","К. Случевский. Стихотворения и поэмы. Новая библиотека поэта. Большая серия. -- Спб.: Академический проект, 2004",38
"235","Смирнов Н. С.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",6
"236","Смирнов Н. С.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",2
"237","Сниткин А. П.","Поэты «Искры». Библиотека поэта. -- Л.: Советский писатель, 1987",7
"238","Соколовский В. И.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",28
"239","Сомов О. М.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",8
"240","Стародубский В. В.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",2
"241","Стахович М. А.","Поэты 1840-1850-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",16
"242","Струйский (Трилунный) Д. Ю.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",21
"243","Сумароков А. П.","А. П. Сумароков. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1957",259
"244","Сумароков А. П.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",1
"245","Сумароков А. П.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",14
"246","Сумароков П. П.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",23
"247","Суриков И. З.","И.З. Суриков и поэты-суриковцы. Библиотека поэта. Большая серия. 2-е изд. М.; Л.: Советский писатель, 1966",62
"248","Теплова Н. С.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",21
"249","Тепляков В. Г.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",21
"250","Тимофеев А. В.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",15
"251","Толстой А. К.","А. К. Толстой. Полное собрание стихотворений и поэм. Новая библиотека поэта. Большая серия. -- СПб.: Академический проект, 2006",257
"252","Толстой А. К.","А.К. Толстой. Собрание сочинений в четырех томах. М.: Правда, 1980",3
"253","Тредиаковский В. К.","В. К. Тредиаковский. Избранные произведения. Библиотека поэта. Большая серия. -- М.-Л.: Советский писатель, 1963",56
"254","Тредиаковский В. К.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",10
"255","Тредиаковский В. К.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",2
"256","Трефолев Л. Н.","Л. Н. Трефолев. Стихотворения. Библиотека поэта. Л.: Советский писатель, 1958",31
"257","Туманский В. И.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",58
"258","Туманский Ф. А.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",7
"259","Тургенев А. И.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",27
