"","id","COL_ID","poetry_prose","book_type","genre","special_tag","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","group","group_abbr","group_eng","A_ID"
"51",111,"COL_25","v","col","lyr","","Мейснер А.","Мейснер А.Я.","Мейснер Алексей Яковлевич","Стихотворения Алексея Мейснера","М.","Семена",1836,270,"12",19,"ЧБ","https://books.google.com/books?id=iHZpAAAAcAAJ&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_24"
"52",77,NA,"v","col","lyr","","Меркли М.","Меркли М.М.","Меркли Михаил Маркович","Стихотворения Михаила Меркли","М.","Кирилова",1836,119,"",20,"","drive/photos/15","Сборники стихотворений","col_lyr","Lyric collections","A_9"
"53",155,NA,"v","col","lyr; nar","","Подолинский А.","Подолинский А.И.","Подолинский Андрей Иванович","Повести и мелкие стихотворения А. Подолинского. Ч. 1.","СПб.","А. Смирдина, И. Глазунова и Ко",1836,171,"8",21,"РГБ","https://dlib.rsl.ru/01003823515","Сборники стихотворений","col_lyr","Lyric collections","A_46"
"54",112,"COL_27","v","col","lyr","double","Полежаев А.И.","Полежаев А.И.","Полежаев Александр Иванович","Кальян. Стихотворения Полежаева / Изд. 2","М.","Ун. тип",1836,131,"12",17,"ЧБ","https://books.google.com/books?id=tiCc6NXOlU0C&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_26"
"55",113,"COL_28","v","col","lyr","double","Пуговишников А.М.","Пуговишников А.М.","Пуговишников Александр Михайлович","Песни, романсы и стихотворения А.П. / Изд. 2","М.","Кирилова",1836,95,"16",15,"","","Сборники стихотворений","col_lyr","Lyric collections","A_27"
"56",114,"COL_29","v","col","lyr","","Суханов М.","Суханов М.Д.","Суханов Михаил Дмитриевич","Время не праздно. Стихотворения крестьянина М. Суханова","СПб.","Вингебера",1836,112,"12",17,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000951&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_28"
"57",115,"COL_30","v","col","lyr","","Суханов М.","Суханов М.Д.","Суханов Михаил Дмитриевич","Мои сельские досуги","СПб.","Вингебера",1836,110,"12",17,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000950&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_28"
"58",117,"COL_32","v","col","lyr","","Тепляков В.Г.","Тепляков В.Г.","Тепляков Виктор Григорьевич","Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","СПб.","Гутенбергова тип.",1836,194,"8",22,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000974&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_30"
"59",118,"COL_33","v","col","lyr","","Тростин Х.","Тростин Х.Д.","Тростин Христофор","Стихотворения Христофора Тростина","М.","Ун. тип",1836,32,"8",24,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections","A_31"
"60",132,"COL_213","v","sep","lyr","","Тяпкин","Тяпкин","Тяпкин","Глас приветствия сирот своему попечителю отцу","М.","Лазаревых",1836,NA,"8",NA,"","","Отд. стихотворения","sep_lyr","Lyric booklets","A_35"
